  1          2                     3           4       5       6     7     8        9            10    11       12       13      14     
Field      J-name                 zgal        dra     ddec   theta  ref   mag     filter        ref   mag     filter    ref     SED
1127-145   J113007.05-144927.38   0.32847      0.7    19.3   19.29   3    18.89   F814W(V)       3    9999    9999       9999   (Sbc)
SDSS       J113327.78+032719.17   0.2367       4.5    -1.7    4.79   20   19.84   g(AB)          14   18.62   r(AB)      14     E/S0 
SDSS       J113327.78+032719.17   0.2364      -4.1    -9.6   10.39   20   20.16   g(AB)          14   19.01   r(AB)      14     Sbc  
SDSS       J114830.12+021829.78   0.3206      12.3   -21.9   25.11   6    21.45   g(AB)          14   19.89   r(AB)      14     E/S0 
SDSS       J114830.12+021829.78   0.3206      13.4   -26.9   30.05   6    21.28   g(AB)          14   19.73   r(AB)      14     E/S0 
SDSS       J121347.52+000129.99   0.2259      -5.7     6.6    8.72   6    20.59   g(AB)          14   19.20   r(AB)      14     E/S0 
SDSS       J121347.52+000129.99   0.2258      -6.4    11.3   12.99   6    21.06   g(AB)          14   20.29   r(AB)      14     Scd  
SDSS       J132831.08+075942.01   0.2537       1.0   -18.1   18.13   6    21.74   g(AB)          14   20.47   r(AB)      14     E/S0 
SDSS       J132831.08+075942.01   0.2537      -6.8    23.2   24.16   6    20.38   g(AB)          14   19.06   r(AB)      14     E/S0 
SDSS       J132831.08+075942.01   0.2549     -26.4    21.2   33.66   6    20.21   g(AB)          14   19.39   r(AB)      14     Scd  
SDSS       J144033.82+044830.9    0.11271     11.1    -5.8   12.49   10   18.17   g(AB)          14   18.17   r(AB)      14     Scd  
SDSS       J144033.82+044830.9    0.11277     25.5    19.5   32.05   10   16.79   g(AB)          14   16.79   r(AB)      14     Sbc  
1556-245   J155941.40-244238.83   0.769       -3.0     4.7    5.60   1    22.70   R_{EFOSC}(V)   1    9999    9999       9999   (Sbc)
1556-245   J155941.40-244238.83   0.771       -6.0     4.5    7.50   1    21.40   R_{EFOSC}(V)   1    9999    9999       9999   (Sbc)
1622+238   J162439.08+234512.20   0.36809    -21.5    -6.3   22.43   3    19.45   F702W(V)       3    15.90   K_s(V)     4      E/S0 
1622+238   J162439.08+234512.20   0.368      -24.1     5.3   24.64   4    23.25   F702W(V)       3    19.52   K_s(V)     4      E/S0 
1623+269   J162548.79+264658.75   0.888       -1.0     6.1    6.21   3    23.63   F702W(V)       3    18.30   K_s(V)     8      E/S0 
1623+269   J162548.79+264658.75   0.888       -2.8     8.8    9.27   3    23.59   F702W(V)       3    9999    9999       9999   (Sbc)
SDSS       J204431.46+011312.43   0.1921       6.1    -3.6    7.08   6    21.40   g(AB)          14   20.66   r(AB)      14     Sbc  
SDSS       J204431.46+011312.43   0.1927      -2.1    -7.5    7.79   6    20.15   g(AB)          14   18.93   r(AB)      14     E/S0 
2126-158   J212912.17-153841.04   0.6668       6.3    -3.7    7.10   16   20.79   i'(AB)         16   9999    9999       9999   (Sbc)
2126-158   J212912.17-153841.04   0.6643       8.3    -3.2    8.60   16   20.34   i'(AB)         16   9999    9999       9999   (Sbc)
2126-158   J212912.17-153841.04   0.6647      12.6    -2.4   12.40   16   22.08   i'(AB)         16   9999    9999       9999   (Sbc)
2126-158   J212912.17-153841.04   0.6648     -14.5   -19.4   23.90   16   20.88   i'(AB)         16   9999    9999       9999   (Sbc)
2128-123   J213135.26-120704.79   0.430200     6.7     5.4    8.63   3    20.43   F702W(V)       3    17.12   K_s(V)     7      E/S0 
2128-123   J213135.26-120704.79   0.43072      8.9    -5.9   10.52   18   25.73   F702W(V)       25   9999    9999       9999   (Sbc)
2128-123   J213135.26-120704.79   0.43006    -17.2   -19.5   25.76   18    9999   9999           99   9999    9999       9999   9999 
2128-123   J213135.26-120704.79   0.42982    -15.5   -26.4   30.45   18    9999   9999           99   9999    9999       9999   9999 
