1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17    
Field,J-name,zgal,zabs,EWMgII,sigEW,DR,sigDR,ref,D,kcorrB,MB,LB,kcorrK,MK,LK,B-K
1038+064,J104117.16+061016.92,0.304858,0.3054,0.0419,-1,9999,9999,14,123.3,-1.06,-19.15,0.21,9999,9999,9999,9999
1127-145,J113007.05-144927.38,0.31207,0.312709,1.769,0.004,1.05,0.09,13,17.3,-1.46,-18.13,0.08,9999,9999,9999,9999
1127-145,J113007.05-144927.38,0.3132,0.312709,1.769,0.004,1.05,0.09,13,45.6,-1.89,-20.45,0.7,-0.53,-22.56,0.87,2.1
1127-145,J113007.05-144927.38,0.3124,0.312709,1.769,0.004,1.05,0.09,13,80.8,-1.46,-21.04,1.2,9999,9999,9999,9999
1127-145,J113007.05-144927.38,0.31139,0.312709,1.769,0.004,1.05,0.09,13,98.8,-1.46,-19.88,0.41,9999,9999,9999,9999
1127-145,J113007.05-144927.38,0.32839,0.328279,0.028,0.003,1.56,0.246,3,76.3,-1.46,-19.62,0.32,9999,9999,9999,9999
1127-145,J113007.05-144927.38,0.32847,0.328279,0.028,0.003,1.56,0.246,3,90.7,-1.46,-20.92,1.06,9999,9999,9999,9999
SDSS,J113327.78+032719.17,0.2367,0.237514,0.759,0.005,1.456,0.018,14,18,0.71,-21.24,1.58,1.35,-23.1,1.52,1.86
SDSS,J113327.78+032719.17,0.2364,0.237514,0.759,0.005,1.456,0.018,14,39,0.33,-20.54,0.83,1.05,-22.41,0.8,1.87
SDSS,J114830.12+021829.78,0.3206,0.3215,0.53,0.02,9999,9999,6,116.2,1.11,-20.79,0.94,0.55,-22.67,0.96,1.88
SDSS,J114830.12+021829.78,0.3206,0.3215,0.53,0.02,9999,9999,6,139.1,1.11,-20.96,1.1,0.55,-22.81,1.1,1.85
SDSS,J121347.52+000129.99,0.2259,0.2258,0.54,0.08,9999,9999,6,31.4,0.66,-20.32,0.69,0.38,-22.41,0.8,2.08
SDSS,J121347.52+000129.99,0.2258,0.2258,0.54,0.08,9999,9999,6,46.7,0.23,-19.42,0.3,0.06,-20.56,0.14,1.14
SDSS,J132831.08+075942.01,0.2537,0.2545,0.79,0.03,9999,9999,6,71.2,0.79,-19.59,0.34,0.42,-21.3,0.28,1.7
SDSS,J132831.08+075942.01,0.2537,0.2545,0.79,0.03,9999,9999,6,94.8,0.79,-20.94,1.17,0.42,-22.76,1.09,1.81
SDSS,J132831.08+075942.01,0.2549,0.2545,0.79,0.03,9999,9999,6,132.6,0.29,-20.64,0.89,0.07,-21.77,0.43,1.13
SDSS,J144033.82+044830.9,0.11271,0.11304,1.18,0.04,1.28,0.06,10,25.4,-0.01,-19.86,0.51,0.05,-20.99,0.24,1.12
SDSS,J144033.82+044830.9,0.11277,0.11304,1.18,0.04,1.28,0.06,10,65.2,0,-20.98,1.43,0.12,-22.69,1.16,1.71
1556-245,J155941.40-244238.83,0.769,0.771483,2.49,0.09,1.2,0.07,14,41.2,-0.23,-20.55,0.46,9999,9999,9999,9999
1556-245,J155941.40-244238.83,0.771,0.771483,2.49,0.09,1.2,0.07,14,55.2,-0.23,-21.86,1.53,9999,9999,9999,9999
1622+238,J162439.08+234512.20,0.36809,0.368112,0.247,0.005,1.248,0.046,3,113.5,-1.29,-20.81,0.92,-0.53,-23.21,1.54,2.39
1622+238,J162439.08+234512.20,0.368,0.368112,0.247,0.005,1.248,0.046,3,124.8,-1.29,-17.01,0.03,-0.53,-19.59,0.05,2.57
1623+269,J162548.79+264658.75,0.888,0.887679,0.903,0.004,1.245,0.01,3,47.9,0.12,-20.36,0.34,-0.64,-23.01,1.02,2.65
1623+269,J162548.79+264658.75,0.888,0.887679,0.903,0.004,1.245,0.01,3,71.4,-0.28,-19.99,0.24,9999,9999,9999,9999
SDSS,J204431.46+011312.43,0.1921,0.1927,0.5,0.08,9999,9999,6,22.5,0.21,-18.67,0.15,0.16,-19.98,0.08,1.31
SDSS,J204431.46+011312.43,0.1927,0.1927,0.5,0.08,9999,9999,6,24.8,0.49,-20.2,0.64,0.33,-22.2,0.68,2
2126-158,J212912.17-153841.04,0.6668,0.662742,1.903,0.014,1.14,0.02,14,49.7,-0.74,-21.49,1.22,9999,9999,9999,9999
2126-158,J212912.17-153841.04,0.6643,0.662742,1.903,0.014,1.14,0.02,14,60.1,-0.74,-21.93,1.82,9999,9999,9999,9999
2126-158,J212912.17-153841.04,0.6647,0.662742,1.903,0.014,1.14,0.02,14,86.7,-0.74,-20.19,0.37,9999,9999,9999,9999
2126-158,J212912.17-153841.04,0.6648,0.662742,1.903,0.014,1.14,0.02,14,167.2,-0.74,-21.39,1.11,9999,9999,9999,9999
2128-123,J213135.26-120704.79,0.4302,0.429735,0.395,0.01,1.16,0.05,3,48.1,-1.18,-20.35,0.56,-0.51,-22.41,0.71,2.06
2128-123,J213135.26-120704.79,0.43072,0.429735,0.395,0.01,1.16,0.05,3,59.1,-0.99,-15.25,0.01,9999,9999,9999,9999
2128-123,J213135.26-120704.79,0.43006,0.429735,0.395,0.01,1.16,0.05,3,144.5,9999,-16.38,0.01,9999,9999,9999,9999
2128-123,J213135.26-120704.79,0.42982,0.429735,0.395,0.01,1.16,0.05,3,170.8,9999,-16.25,0.01,9999,9999,9999,9999
