  1          2                    3           4      5     6    7    8       9           10   11     12       13     14   
Field      J-name                zgal        dra    dd   theta ref  mag    filter       ref  mag    filter    ref   SED
0827+243   J083052.08+241059.82  0.5247      5.6    2.0   5.98  3   20.64  F702W(V)      3   16.95  K_s(V)    8     E/S0 
0836+113   J083933.01+111203.82  0.78682     0.9    3.5   3.61  3   22.63  F702W(V)      3   19.70  K_s(V)    8     Scd  
SDSS       J084119.78+012621.75  0.4091     12.1    7.1  14.03  6   21.51  g(AB)         15  20.27  r(AB)     15    Sbc  
SDSS       J084456.06+004708.95  0.1551     -7.2    9.2  11.68  6   19.71  g(AB)         15  18.97  r(AB)     15    Sbc  
SDSS       J085826.93+022604.49  0.1097     44.2   11.6  45.66  6   19.34  g(AB)         15  18.89  r(AB)     15    Scd  
SDSS       J090519.70+084917.32  0.1499      0.3   -3.3   3.31  6   22.90  g(AB)         15  22.54  r(AB)     15    Im   
SDSS       J090519.70+084917.32  0.3856    -10.2   16.4  19.25  6   21.66  g(AB)         15  20.57  r(AB)     15    Scd  
SDSS       J090519.70+084917.32  0.4545     -1.3   14.9  14.96  6   21.91  g(AB)         15  21.19  r(AB)     15    Im   
SDSS       J091119.16+031152.9   0.09616   -35.4   17.8  39.57  11  16.75  r(AB)         15  13.69  K_s(V)    16    Sbc  
SDSS       J091845.91+060226.09  0.1849    -12.1  -23.2  26.13  6   19.98  g(AB)         15  18.77  r(AB)     15    E/S0 
SDSS       J092300.67+075108.2   0.10385     4.3   -3.1   5.30  11  16.42  r(AB)         15  13.10  K_s(V)    16    E/S0 
SDSS       J093251.82+073729.11  0.3876      6.4    2.5   6.82  6   21.42  g(AB)         15  20.40  r(AB)     15    Scd  
SDSS       J093536.98+112408.03  0.2808      4.0    2.6   4.70  6   21.35  g(AB)         15  20.49  r(AB)     15    Scd  
0950+483   J095000.73+483129.3   0.2118657   1.9  -26.8  26.82  18  18.00  F814W(AB)     18  18.11  r(AB)     15    E/S0
SDSS       J100807.51+014448.97  0.2173     46.5   -2.8  46.56  6   18.79  g(AB)         15  17.98  r(AB)     15    Sbc  
SDSS       J100906.36+023555.31  0.2523      8.2    2.5   8.56  6   20.70  g(AB)         15  19.30  r(AB)     15    E/S0 
SDSS       J102218.98+013218.82  0.1369     25.9  -35.3  43.78  6   18.69  g(AB)         15  17.63  r(AB)     15    E/S0 
1019+309   J102230.29+304105.11  0.346      -6.5    6.9   9.44  3   20.46  F702W(V)      3   17.73  K_s(V)    8     Scd  
SDSS       J102751.62+104532.61  0.1093    -24.4   32.6  40.49  13  16.25  r(AB)         15  13.41  K_s(V)    16    Sbc  
SDSS       J102847.00+391800.5   0.11348    -6.6   42.3  42.59  11  17.07  g(AB)         15  17.07  r(AB)     15    Scd  
SDSS       J103607.51+015659.14  0.3571    -33.7   -4.3  33.95  6   20.00  g(AB)         15  18.98  r(AB)     15    Scd  
SDSS       J103836.50+095138.85  0.1742     -1.8    4.8   5.12  6   21.26  g(AB)         15  20.46  r(AB)     15    Sbc  
1038+064   J104117.16+061016.92  0.3157     -4.5  -10.8  11.70  2   21.44  F702W(V)      2   17.80  K_s(V)    9     E/S0 
1038+064   J104117.16+061016.92  0.4432      9.7    2.1   9.86  3   20.59  F702W(V)      3   16.50  K_s(V)    8     E/S0 
SDSS       J104935.99+075813.74  0.4793    -18.0  -23.6  29.58  12  22.80  g(AB)         15  20.50  r(AB)     15    E/S0 
SDSS       J105033.08-001354.84  0.1155    -34.4   21.8  40.68  13  16.59  r(AB)         15  13.73  K_s(V)    16    Sbc  
1100-264   J110325.29-264515.7   0.359       5.7  -10.8  12.20  1   20.40  R_{EFOSC}(V)  1    9999  9999      9999  (Sbc)
SDSS       J111342.42-000730.80  0.1094      1.5  -24.9  24.95  13  16.22  r(AB)         15  12.95  K_s(V)    16    E/S0 
SDSS       J111850.13-002100.7   0.13159    -6.9   -9.4  11.67  11  17.22  g(AB)         15  17.22  r(AB)     15    Sbc  
SDSS       J112016.66+093323.53  0.4933     -0.4   -5.6   5.61  6   21.67  g(AB)         15  20.64  r(AB)     15    Scd  
SDSS       J112613.52+352002.60  0.1117    -55.8  -15.4  48.06  13  17.05  r(AB)         15  13.89  K_s(V)    16    E/S0 
1127-145   J113007.05-144927.38  0.20735   -12.9   31.4  33.91  10  19.85  F814W(V)      10   9999  9999      9999  (Sbc)
1127-145   J113007.05-144927.38  0.27921    25.0  -12.5  27.92  10  20.22  F814W(V)      10   9999  9999      9999  (Sbc)
1127-145   J113007.05-144927.38  0.30515   -23.6   36.2  43.23  10  19.50  F814W(V)      10   9999  9999      9999  (Sbc)
